model,variable,variable_label,coefficient,std_error,ci_lower_95,ci_upper_95,p_value,observations,countries,year_start,year_end,country_fixed_effects,year_fixed_effects,standard_errors,r_squared,adjusted_r_squared
M1_pooled_ols,schooling,Schooling,1.6878098647384676,0.07675684686456992,1.5373692093170543,1.8382505201598809,3.666111241017773e-107,2319,157,2000,2015,False,False,HC1,0.6275254340386507,0.6268815713490027
M1_pooled_ols,log1p_gdp,log(1 + GDP),1.0492330183537075,0.10313783695560456,0.8470865724773584,1.2513794642300566,2.614137504928126e-24,2319,157,2000,2015,False,False,HC1,0.6275254340386507,0.6268815713490027
M1_pooled_ols,total_expenditure,Total expenditure,-0.10025427575164468,0.0557514513812921,-0.20952511254481304,0.009016561041523694,0.07213959183658916,2319,157,2000,2015,False,False,HC1,0.6275254340386507,0.6268815713490027
M1_pooled_ols,polio,Polio coverage,0.06165498738588068,0.007202921103526478,0.04753752143948528,0.07577245333227609,1.1314202870463697e-17,2319,157,2000,2015,False,False,HC1,0.6275254340386507,0.6268815713490027
M2_pooled_year_fe,schooling,Schooling,1.6880127984883893,0.07588133807736226,1.5392881087580514,1.836737488218727,1.2489661872655e-109,2319,157,2000,2015,False,True,HC1,0.6288447911489455,0.6257773927286889
M2_pooled_year_fe,log1p_gdp,log(1 + GDP),1.0571169786715156,0.10311743581202436,0.8550105183018271,1.259223439041204,1.1642070929744723e-24,2319,157,2000,2015,False,True,HC1,0.6288447911489455,0.6257773927286889
M2_pooled_year_fe,total_expenditure,Total expenditure,-0.10540238679682275,0.05593558405664024,-0.21503411700205047,0.004229343408404973,0.05951723995954304,2319,157,2000,2015,False,True,HC1,0.6288447911489455,0.6257773927286889
M2_pooled_year_fe,polio,Polio coverage,0.06252143017747208,0.007274695511320806,0.04826328897678811,0.07677957137815605,8.372231840674978e-18,2319,157,2000,2015,False,True,HC1,0.6288447911489455,0.6257773927286889
M3_country_fe,schooling,Schooling,0.9239734753420432,0.260908429726604,0.41260234981499977,1.4353446008690867,0.0003980538609899093,2319,157,2000,2015,True,False,cluster_country,0.9455604861715433,0.9415241922825011
M3_country_fe,log1p_gdp,log(1 + GDP),0.16181066897139298,0.05547880433006853,0.053074210579113865,0.2705471273636721,0.0035384497081823534,2319,157,2000,2015,True,False,cluster_country,0.9455604861715433,0.9415241922825011
M3_country_fe,total_expenditure,Total expenditure,0.027229043160978666,0.05534609785720328,-0.08124731532396921,0.13570540164592654,0.6227351435114159,2319,157,2000,2015,True,False,cluster_country,0.9455604861715433,0.9415241922825011
M3_country_fe,polio,Polio coverage,0.01061308229248294,0.00419343712556313,0.002394096554946037,0.01883206803001984,0.011377706515791485,2319,157,2000,2015,True,False,cluster_country,0.9455604861715433,0.9415241922825011
M4_two_way_fe,schooling,Schooling,0.13400051407453825,0.1228390116331413,-0.10675952462291544,0.37476055277199194,0.2753332369282422,2319,157,2000,2015,True,True,cluster_country,0.9593309972062598,0.9560099167168037
M4_two_way_fe,log1p_gdp,log(1 + GDP),-0.015746270743002513,0.037192280526660744,-0.08864180107816796,0.05714925959216294,0.6720218981889804,2319,157,2000,2015,True,True,cluster_country,0.9593309972062598,0.9560099167168037
M4_two_way_fe,total_expenditure,Total expenditure,-0.03373195729101535,0.04485618740274104,-0.12164846908416707,0.05418455450213636,0.4520496596161919,2319,157,2000,2015,True,True,cluster_country,0.9593309972062598,0.9560099167168037
M4_two_way_fe,polio,Polio coverage,0.004902350236731787,0.00336485964825258,-0.0016926534868753852,0.01149735396033896,0.14513691244199162,2319,157,2000,2015,True,True,cluster_country,0.9593309972062598,0.9560099167168037
