variable,status,missing_count,missing_rate
adult_mortality,Developed,0,0.0
adult_mortality,Developing,10,0.004122011541632316
alcohol,Developed,28,0.0546875
alcohol,Developing,166,0.06842539159109645
bmi,Developed,0,0.0
bmi,Developing,34,0.014014839241549877
diphtheria,Developed,0,0.0
diphtheria,Developing,19,0.007831821929101401
gdp,Developed,64,0.125
gdp,Developing,384,0.15828524319868095
hepatitis_b,Developed,173,0.337890625
hepatitis_b,Developing,380,0.15663643858202803
hiv_aids,Developed,0,0.0
hiv_aids,Developing,0,0.0
income_composition_of_resources,Developed,48,0.09375
income_composition_of_resources,Developing,119,0.04905193734542457
infant_deaths,Developed,0,0.0
infant_deaths,Developing,0,0.0
life_expectancy,Developed,0,0.0
life_expectancy,Developing,10,0.004122011541632316
measles,Developed,0,0.0
measles,Developing,0,0.0
percentage_expenditure,Developed,0,0.0
percentage_expenditure,Developing,0,0.0
polio,Developed,0,0.0
polio,Developing,19,0.007831821929101401
population,Developed,96,0.1875
population,Developing,556,0.2291838417147568
schooling,Developed,48,0.09375
schooling,Developing,115,0.04740313272877164
thinness_1_19_years,Developed,0,0.0
thinness_1_19_years,Developing,34,0.014014839241549877
thinness_5_9_years,Developed,0,0.0
thinness_5_9_years,Developing,34,0.014014839241549877
total_expenditure,Developed,32,0.0625
total_expenditure,Developing,194,0.07996702390766694
under_five_deaths,Developed,0,0.0
under_five_deaths,Developing,0,0.0
