variable,year,missing_count,missing_rate
adult_mortality,2000,0,0.0
adult_mortality,2001,0,0.0
adult_mortality,2002,0,0.0
adult_mortality,2003,0,0.0
adult_mortality,2004,0,0.0
adult_mortality,2005,0,0.0
adult_mortality,2006,0,0.0
adult_mortality,2007,0,0.0
adult_mortality,2008,0,0.0
adult_mortality,2009,0,0.0
adult_mortality,2010,0,0.0
adult_mortality,2011,0,0.0
adult_mortality,2012,0,0.0
adult_mortality,2013,10,0.05181347150259067
adult_mortality,2014,0,0.0
adult_mortality,2015,0,0.0
alcohol,2000,1,0.00546448087431694
alcohol,2001,1,0.00546448087431694
alcohol,2002,1,0.00546448087431694
alcohol,2003,1,0.00546448087431694
alcohol,2004,1,0.00546448087431694
alcohol,2005,2,0.01092896174863388
alcohol,2006,1,0.00546448087431694
alcohol,2007,1,0.00546448087431694
alcohol,2008,1,0.00546448087431694
alcohol,2009,1,0.00546448087431694
alcohol,2010,1,0.00546448087431694
alcohol,2011,1,0.00546448087431694
alcohol,2012,1,0.00546448087431694
alcohol,2013,2,0.010362694300518135
alcohol,2014,1,0.00546448087431694
alcohol,2015,177,0.9672131147540983
bmi,2000,2,0.01092896174863388
bmi,2001,2,0.01092896174863388
bmi,2002,2,0.01092896174863388
bmi,2003,2,0.01092896174863388
bmi,2004,2,0.01092896174863388
bmi,2005,2,0.01092896174863388
bmi,2006,2,0.01092896174863388
bmi,2007,2,0.01092896174863388
bmi,2008,2,0.01092896174863388
bmi,2009,2,0.01092896174863388
bmi,2010,2,0.01092896174863388
bmi,2011,2,0.01092896174863388
bmi,2012,2,0.01092896174863388
bmi,2013,4,0.02072538860103627
bmi,2014,2,0.01092896174863388
bmi,2015,2,0.01092896174863388
diphtheria,2000,3,0.01639344262295082
diphtheria,2001,3,0.01639344262295082
diphtheria,2002,2,0.01092896174863388
diphtheria,2003,2,0.01092896174863388
diphtheria,2004,2,0.01092896174863388
diphtheria,2005,2,0.01092896174863388
diphtheria,2006,1,0.00546448087431694
diphtheria,2007,1,0.00546448087431694
diphtheria,2008,1,0.00546448087431694
diphtheria,2009,1,0.00546448087431694
diphtheria,2010,1,0.00546448087431694
diphtheria,2011,0,0.0
diphtheria,2012,0,0.0
diphtheria,2013,0,0.0
diphtheria,2014,0,0.0
diphtheria,2015,0,0.0
gdp,2000,29,0.15846994535519127
gdp,2001,28,0.15300546448087432
gdp,2002,28,0.15300546448087432
gdp,2003,28,0.15300546448087432
gdp,2004,27,0.14754098360655737
gdp,2005,27,0.14754098360655737
gdp,2006,27,0.14754098360655737
gdp,2007,27,0.14754098360655737
gdp,2008,27,0.14754098360655737
gdp,2009,27,0.14754098360655737
gdp,2010,27,0.14754098360655737
gdp,2011,27,0.14754098360655737
gdp,2012,29,0.15846994535519127
gdp,2013,33,0.17098445595854922
gdp,2014,28,0.15300546448087432
gdp,2015,29,0.15846994535519127
hepatitis_b,2000,98,0.5355191256830601
hepatitis_b,2001,88,0.4808743169398907
hepatitis_b,2002,70,0.3825136612021858
hepatitis_b,2003,52,0.28415300546448086
hepatitis_b,2004,45,0.2459016393442623
hepatitis_b,2005,36,0.19672131147540983
hepatitis_b,2006,32,0.17486338797814208
hepatitis_b,2007,24,0.13114754098360656
hepatitis_b,2008,20,0.1092896174863388
hepatitis_b,2009,17,0.09289617486338798
hepatitis_b,2010,15,0.08196721311475409
hepatitis_b,2011,13,0.07103825136612021
hepatitis_b,2012,13,0.07103825136612021
hepatitis_b,2013,11,0.05699481865284974
hepatitis_b,2014,10,0.0546448087431694
hepatitis_b,2015,9,0.04918032786885246
hiv_aids,2000,0,0.0
hiv_aids,2001,0,0.0
hiv_aids,2002,0,0.0
hiv_aids,2003,0,0.0
hiv_aids,2004,0,0.0
hiv_aids,2005,0,0.0
hiv_aids,2006,0,0.0
hiv_aids,2007,0,0.0
hiv_aids,2008,0,0.0
hiv_aids,2009,0,0.0
hiv_aids,2010,0,0.0
hiv_aids,2011,0,0.0
hiv_aids,2012,0,0.0
hiv_aids,2013,0,0.0
hiv_aids,2014,0,0.0
hiv_aids,2015,0,0.0
income_composition_of_resources,2000,10,0.0546448087431694
income_composition_of_resources,2001,10,0.0546448087431694
income_composition_of_resources,2002,10,0.0546448087431694
income_composition_of_resources,2003,10,0.0546448087431694
income_composition_of_resources,2004,10,0.0546448087431694
income_composition_of_resources,2005,10,0.0546448087431694
income_composition_of_resources,2006,10,0.0546448087431694
income_composition_of_resources,2007,10,0.0546448087431694
income_composition_of_resources,2008,10,0.0546448087431694
income_composition_of_resources,2009,10,0.0546448087431694
income_composition_of_resources,2010,10,0.0546448087431694
income_composition_of_resources,2011,10,0.0546448087431694
income_composition_of_resources,2012,10,0.0546448087431694
income_composition_of_resources,2013,17,0.08808290155440414
