,life_expectancy,schooling,income_composition_of_resources,log1p_gdp,gdp_analysis,total_expenditure,polio,diphtheria,log1p_hiv_aids,hiv_aids,bmi_analysis
life_expectancy,1.0,0.7622279985611143,0.7332488521901709,0.6025406601298321,0.46224244599628506,0.18053615054376151,0.45328658034355696,0.4667311186298777,-0.7786547603950582,-0.5767205004179256,0.5819947540392443
schooling,0.7622279985611143,1.0,0.7937651477831886,0.6221909181817165,0.4571035464054939,0.2706101637412885,0.4277666091153527,0.43397784723578126,-0.4588337131147643,-0.23631868319921387,0.5832163293974401
income_composition_of_resources,0.7332488521901709,0.7937651477831886,1.0,0.5879757950596637,0.4618772981654621,0.17528970364970162,0.3917930356525779,0.4128208650167151,-0.4501945131330336,-0.2592201535739708,0.5320787292579133
log1p_gdp,0.6025406601298321,0.6221909181817165,0.5879757950596637,1.0,0.7069062788795649,0.15177204485866075,0.29524797974151074,0.2934537723142995,-0.3496505575621387,-0.19345941559860738,0.45639055354200514
gdp_analysis,0.46224244599628506,0.4571035464054939,0.4618772981654621,0.7069062788795649,1.0,0.14375359967032364,0.20913979192810567,0.1974244337617017,-0.23249654864727015,-0.13911215937752416,0.3062388872682045
total_expenditure,0.18053615054376151,0.2706101637412885,0.17528970364970162,0.15177204485866075,0.14375359967032364,1.0,0.12082932831446222,0.13209210760225093,-0.024489138789895663,0.02674797556956221,0.19224836331163248
polio,0.45328658034355696,0.4277666091153527,0.3917930356525779,0.29524797974151074,0.20913979192810567,0.12082932831446222,1.0,0.6808856317506927,-0.3232071856839272,-0.16183009127478223,0.29251018839262444
diphtheria,0.4667311186298777,0.43397784723578126,0.4128208650167151,0.2934537723142995,0.1974244337617017,0.13209210760225093,0.6808856317506927,1.0,-0.3354800098196364,-0.16856891741305166,0.28889199915421654
log1p_hiv_aids,-0.7786547603950582,-0.4588337131147643,-0.4501945131330336,-0.3496505575621387,-0.23249654864727015,-0.024489138789895663,-0.3232071856839272,-0.3354800098196364,1.0,0.863400802302851,-0.4249468512203514
hiv_aids,-0.5767205004179256,-0.23631868319921387,-0.2592201535739708,-0.19345941559860738,-0.13911215937752416,0.02674797556956221,-0.16183009127478223,-0.16856891741305166,0.863400802302851,1.0,-0.24837723913004067
bmi_analysis,0.5819947540392443,0.5832163293974401,0.5320787292579133,0.45639055354200514,0.3062388872682045,0.19224836331163248,0.29251018839262444,0.28889199915421654,-0.4249468512203514,-0.24837723913004067,1.0
