model,included_variables,starting_observations,observations,countries,year_start,year_end,removed_missing,removed_invalid_rule,removed_single_year,removed_influential,single_year_included,flag_rule,country_fixed_effects,year_fixed_effects,standard_errors,formula,status
M1_pooled_ols,schooling; log1p_gdp; total_expenditure; polio,2938,2319,157,2000,2015,609,0,10,0,False,main_cleaned,False,False,HC1,life_expectancy ~ schooling + log1p_gdp + total_expenditure + polio,
M2_pooled_year_fe,schooling; log1p_gdp; total_expenditure; polio,2938,2319,157,2000,2015,609,0,10,0,False,main_cleaned,False,True,HC1,life_expectancy ~ schooling + log1p_gdp + total_expenditure + polio + C(year),
M3_country_fe,schooling; log1p_gdp; total_expenditure; polio,2938,2319,157,2000,2015,609,0,10,0,False,main_cleaned,True,False,cluster_country,life_expectancy ~ schooling + log1p_gdp + total_expenditure + polio + C(country),
M4_two_way_fe,schooling; log1p_gdp; total_expenditure; polio,2938,2319,157,2000,2015,609,0,10,0,False,main_cleaned,True,True,cluster_country,life_expectancy ~ schooling + log1p_gdp + total_expenditure + polio + C(country) + C(year),
R1_main_cleaned,schooling; log1p_gdp; total_expenditure; polio,2938,2319,157,2000,2015,609,0,10,0,False,main_cleaned,True,True,cluster_country,life_expectancy ~ schooling + log1p_gdp + total_expenditure + polio + C(country) + C(year),estimated
R2_exclude_clearly_invalid_rows,schooling; log1p_gdp; total_expenditure; polio,2938,2301,157,2000,2015,609,18,10,0,False,exclude_clearly_invalid,True,True,cluster_country,life_expectancy ~ schooling + log1p_gdp + total_expenditure + polio + C(country) + C(year),estimated
R3_exclude_invalid_and_unresolved,schooling; log1p_gdp; total_expenditure; polio,2938,2266,157,2000,2015,604,58,10,0,False,exclude_invalid_unresolved,True,True,cluster_country,life_expectancy ~ schooling + log1p_gdp + total_expenditure + polio + C(country) + C(year),estimated
R4_untransformed_gdp,schooling; gdp_analysis; total_expenditure; polio,2938,2319,157,2000,2015,609,0,10,0,False,main_cleaned,True,True,cluster_country,life_expectancy ~ schooling + gdp_analysis + total_expenditure + polio + C(country) + C(year),estimated
R5_exclude_gdp,schooling; total_expenditure; polio,2938,2574,173,2000,2015,354,0,10,0,False,main_cleaned,True,True,cluster_country,life_expectancy ~ schooling + total_expenditure + polio + C(country) + C(year),estimated
R6_income_composition_replaces_schooling,income_composition_of_resources; log1p_gdp; total_expenditure; polio,2938,2319,157,2000,2015,609,0,10,0,False,main_cleaned,True,True,cluster_country,life_expectancy ~ income_composition_of_resources + log1p_gdp + total_expenditure + polio + C(country) + C(year),estimated
R7_diphtheria_replaces_polio,schooling; log1p_gdp; total_expenditure; diphtheria,2938,2319,157,2000,2015,609,0,10,0,False,main_cleaned,True,True,cluster_country,life_expectancy ~ schooling + log1p_gdp + total_expenditure + diphtheria + C(country) + C(year),estimated
R8_polio_and_diphtheria,schooling; log1p_gdp; total_expenditure; polio; diphtheria,2938,2319,157,2000,2015,609,0,10,0,False,main_cleaned,True,True,cluster_country,life_expectancy ~ schooling + log1p_gdp + total_expenditure + polio + diphtheria + C(country) + C(year),estimated
R9_exclude_total_expenditure,schooling; log1p_gdp; polio,2938,2471,157,2000,2015,457,0,10,0,False,main_cleaned,True,True,cluster_country,life_expectancy ~ schooling + log1p_gdp + polio + C(country) + C(year),estimated
R10_exclude_influential,schooling; log1p_gdp; total_expenditure; polio,2938,2174,157,2000,2015,609,0,10,145,False,main_cleaned,True,True,cluster_country,life_expectancy ~ schooling + log1p_gdp + total_expenditure + polio + C(country) + C(year),estimated
R11_developed_only,schooling; log1p_gdp; total_expenditure; polio,512,420,28,2000,2014,92,0,0,0,False,main_cleaned,True,True,cluster_country,life_expectancy ~ schooling + log1p_gdp + total_expenditure + polio + C(country) + C(year),estimated
R12_developing_only,schooling; log1p_gdp; total_expenditure; polio,2426,1899,129,2000,2015,517,0,10,0,False,main_cleaned,True,True,cluster_country,life_expectancy ~ schooling + log1p_gdp + total_expenditure + polio + C(country) + C(year),estimated
S1_add_contemporaneous_hiv_mortality,schooling; log1p_gdp; total_expenditure; polio; log1p_hiv_aids,2938,2319,157,2000,2015,609,0,10,0,False,main_cleaned,True,True,cluster_country,life_expectancy ~ schooling + log1p_gdp + total_expenditure + polio + log1p_hiv_aids + C(country) + C(year),estimated
I1_two_way_cluster_country_year,schooling; log1p_gdp; total_expenditure; polio,2938,2319,157,2000,2015,609,0,10,0,False,main_cleaned,True,True,cluster_country_year,life_expectancy ~ schooling + log1p_gdp + total_expenditure + polio + C(country) + C(year),estimated
L1_one_year_lagged_two_way_fe,lag1_schooling; lag1_log1p_gdp; lag1_total_expenditure; lag1_polio,2938,2317,157,2001,2015,611,0,10,0,False,main_cleaned,True,True,cluster_country,life_expectancy ~ lag1_schooling + lag1_log1p_gdp + lag1_total_expenditure + lag1_polio + C(country) + C(year),estimated
