variable,observations,countries,overall_sd,between_country_sd,within_country_sd,within_to_overall_sd_ratio
schooling,2775,180,3.3589197211023563,3.3362880911616246,1.2077460058157123,0.3595638199472493
income_composition_of_resources,2771,176,0.21090355515159298,0.18283855392619258,0.10457443575184082,0.4958400804418633
log1p_gdp,2490,163,1.8716935778121075,1.409447257292673,1.2331743875832692,0.6588548479312372
gdp_analysis,2490,163,14270.169341515977,10684.400474286993,9292.340687251652,0.6511724188316107
total_expenditure,2712,191,2.4983196721556316,2.211022928102999,1.5834626673736079,0.6338110711057824
polio,2919,193,23.428045949468498,16.71167817222304,17.230263760427235,0.7354545828359249
diphtheria,2919,193,23.716912068572594,17.186685886807002,17.106818601975554,0.7212919857574499
log1p_hiv_aids,2938,193,0.7658641891507829,0.7234963691369977,0.21773888936785743,0.28430483165598064
hiv_aids,2938,193,5.077784531086548,4.3457112738796795,2.4822677655985026,0.4888485815815712
bmi_analysis,2900,189,20.024683619271798,17.721603518598815,11.901355122476328,0.5943342401186523
