model,diphtheria,gdp_analysis,income_composition_of_resources,log1p_gdp,log1p_hiv_aids,polio,schooling,total_expenditure
I1_two_way_cluster_country_year,,,,-0.015746270743002513,,0.004902350236731787,0.13400051407453825,-0.03373195729101535
R10_exclude_influential,,,,0.0015327163554518866,,0.010441323550693899,0.47790641991637167,-0.010794150305097335
R11_developed_only,,,,-0.058454170045642906,,0.017399313022093483,-0.05617390675394929,-0.06568491586085679
R12_developing_only,,,,-0.015336084436138729,,0.0038804267939928395,0.1326233993655675,-0.009773506532837033
R1_main_cleaned,,,,-0.015746270743002513,,0.004902350236731787,0.13400051407453825,-0.03373195729101535
R2_exclude_clearly_invalid_rows,,,,-0.022029444124276893,,0.0047619049073624065,0.1365167437686079,-0.03688910524520193
R3_exclude_invalid_and_unresolved,,,,-0.018878486875576556,,0.004863357103612664,0.12345708360755776,-0.036845600248498964
R4_untransformed_gdp,,-5.638351915109561e-06,,,,0.004884818700682086,0.13100717324969294,-0.032471862959856254
R5_exclude_gdp,,,,,,0.008062266524662494,0.1310992802924592,-0.03810148870217248
R6_income_composition_replaces_schooling,,,0.3636631165836781,-0.013697646655615264,,0.00497413451244209,,-0.034546943788898304
R7_diphtheria_replaces_polio,0.009006751897734446,,,-0.01166494534040044,,,0.1283936704764569,-0.03552777647712381
R8_polio_and_diphtheria,0.008459529588500747,,,-0.011788792559199908,,0.0011856580762618575,0.12840659425404605,-0.03578627132261
R9_exclude_total_expenditure,,,,-0.014020916249299062,,0.004557164961277402,0.1548504780980916,
S1_add_contemporaneous_hiv_mortality,,,,-0.020829733389715693,-4.19685576383662,0.0037206359694921835,0.14503244514081826,-0.05315528586875653
