model,status,included_variables,starting_observations,observations,countries,year_start,year_end,removed_missing,removed_invalid_rule,removed_single_year,removed_influential,single_year_included,flag_rule,country_fixed_effects,year_fixed_effects,standard_errors,formula
R1_main_cleaned,estimated,schooling; log1p_gdp; total_expenditure; polio,2938,2319,157,2000,2015,609,0,10,0,False,main_cleaned,True,True,cluster_country,life_expectancy ~ schooling + log1p_gdp + total_expenditure + polio + C(country) + C(year)
R2_exclude_clearly_invalid_rows,estimated,schooling; log1p_gdp; total_expenditure; polio,2938,2301,157,2000,2015,609,18,10,0,False,exclude_clearly_invalid,True,True,cluster_country,life_expectancy ~ schooling + log1p_gdp + total_expenditure + polio + C(country) + C(year)
R3_exclude_invalid_and_unresolved,estimated,schooling; log1p_gdp; total_expenditure; polio,2938,2266,157,2000,2015,604,58,10,0,False,exclude_invalid_unresolved,True,True,cluster_country,life_expectancy ~ schooling + log1p_gdp + total_expenditure + polio + C(country) + C(year)
R4_untransformed_gdp,estimated,schooling; gdp_analysis; total_expenditure; polio,2938,2319,157,2000,2015,609,0,10,0,False,main_cleaned,True,True,cluster_country,life_expectancy ~ schooling + gdp_analysis + total_expenditure + polio + C(country) + C(year)
R5_exclude_gdp,estimated,schooling; total_expenditure; polio,2938,2574,173,2000,2015,354,0,10,0,False,main_cleaned,True,True,cluster_country,life_expectancy ~ schooling + total_expenditure + polio + C(country) + C(year)
R6_income_composition_replaces_schooling,estimated,income_composition_of_resources; log1p_gdp; total_expenditure; polio,2938,2319,157,2000,2015,609,0,10,0,False,main_cleaned,True,True,cluster_country,life_expectancy ~ income_composition_of_resources + log1p_gdp + total_expenditure + polio + C(country) + C(year)
R7_diphtheria_replaces_polio,estimated,schooling; log1p_gdp; total_expenditure; diphtheria,2938,2319,157,2000,2015,609,0,10,0,False,main_cleaned,True,True,cluster_country,life_expectancy ~ schooling + log1p_gdp + total_expenditure + diphtheria + C(country) + C(year)
R8_polio_and_diphtheria,estimated,schooling; log1p_gdp; total_expenditure; polio; diphtheria,2938,2319,157,2000,2015,609,0,10,0,False,main_cleaned,True,True,cluster_country,life_expectancy ~ schooling + log1p_gdp + total_expenditure + polio + diphtheria + C(country) + C(year)
R9_exclude_total_expenditure,estimated,schooling; log1p_gdp; polio,2938,2471,157,2000,2015,457,0,10,0,False,main_cleaned,True,True,cluster_country,life_expectancy ~ schooling + log1p_gdp + polio + C(country) + C(year)
R10_exclude_influential,estimated,schooling; log1p_gdp; total_expenditure; polio,2938,2174,157,2000,2015,609,0,10,145,False,main_cleaned,True,True,cluster_country,life_expectancy ~ schooling + log1p_gdp + total_expenditure + polio + C(country) + C(year)
R11_developed_only,estimated,schooling; log1p_gdp; total_expenditure; polio,512,420,28,2000,2014,92,0,0,0,False,main_cleaned,True,True,cluster_country,life_expectancy ~ schooling + log1p_gdp + total_expenditure + polio + C(country) + C(year)
R12_developing_only,estimated,schooling; log1p_gdp; total_expenditure; polio,2426,1899,129,2000,2015,517,0,10,0,False,main_cleaned,True,True,cluster_country,life_expectancy ~ schooling + log1p_gdp + total_expenditure + polio + C(country) + C(year)
S1_add_contemporaneous_hiv_mortality,estimated,schooling; log1p_gdp; total_expenditure; polio; log1p_hiv_aids,2938,2319,157,2000,2015,609,0,10,0,False,main_cleaned,True,True,cluster_country,life_expectancy ~ schooling + log1p_gdp + total_expenditure + polio + log1p_hiv_aids + C(country) + C(year)
I1_two_way_cluster_country_year,estimated,schooling; log1p_gdp; total_expenditure; polio,2938,2319,157,2000,2015,609,0,10,0,False,main_cleaned,True,True,cluster_country_year,life_expectancy ~ schooling + log1p_gdp + total_expenditure + polio + C(country) + C(year)
L1_one_year_lagged_two_way_fe,estimated,lag1_schooling; lag1_log1p_gdp; lag1_total_expenditure; lag1_polio,2938,2317,157,2001,2015,611,0,10,0,False,main_cleaned,True,True,cluster_country,life_expectancy ~ lag1_schooling + lag1_log1p_gdp + lag1_total_expenditure + lag1_polio + C(country) + C(year)
