variable,count,unique,top,freq,mean,std,min,25%,50%,75%,max
country,2938,193,Afghanistan,16,,,,,,,
year,2938.0,,,,2007.5187202178352,4.613840940258097,2000.0,2004.0,2008.0,2012.0,2015.0
status,2938,2,Developing,2426,,,,,,,
life_expectancy,2928.0,,,,69.22493169398908,9.523867487824301,36.3,63.1,72.1,75.7,89.0
adult_mortality,2928.0,,,,164.79644808743168,124.29207900342186,1.0,74.0,144.0,228.0,723.0
infant_deaths,2938.0,,,,30.303948264125257,117.92650131339907,0.0,0.0,3.0,22.0,1800.0
alcohol,2744.0,,,,4.602860787172012,4.052412658755661,0.01,0.8775,3.755,7.702500000000001,17.87
percentage_expenditure,2938.0,,,,738.2512954533831,1987.9148580161914,0.0,4.68534258525,64.912906045,441.53414435,19479.91161
hepatitis_b,2385.0,,,,80.94046121593291,25.070015593018095,1.0,77.0,92.0,97.0,99.0
measles,2938.0,,,,2419.5922396187884,11467.272489234621,0.0,0.0,17.0,360.25,212183.0
bmi,2904.0,,,,38.321246556473824,20.044033502562083,1.0,19.3,43.5,56.2,87.3
under_five_deaths,2938.0,,,,42.0357385976855,160.4455484057337,0.0,0.0,4.0,28.0,2500.0
polio,2919.0,,,,82.55018842069202,23.428045949468498,3.0,78.0,93.0,97.0,99.0
total_expenditure,2712.0,,,,5.9381895280235995,2.498319672155631,0.37,4.26,5.755,7.4925,17.6
diphtheria,2919.0,,,,82.32408359027065,23.716912068572594,2.0,78.0,93.0,97.0,99.0
hiv_aids,2938.0,,,,1.7421034717494899,5.077784531086548,0.1,0.1,0.1,0.8,50.6
gdp,2490.0,,,,7483.158469138474,14270.169341515977,1.68135,463.935626,1766.947595,5910.806335,119172.7418
population,2286.0,,,,12753375.120052494,61012096.508427925,34.0,195793.25,1386542.0,7420359.0,1293859294.0
thinness_1_19_years,2904.0,,,,4.839703856749312,4.420194947144321,0.1,1.6,3.3,7.2,27.7
thinness_5_9_years,2904.0,,,,4.870316804407714,4.508882086983003,0.1,1.5,3.3,7.2,28.6
income_composition_of_resources,2771.0,,,,0.6275510645976182,0.21090355515159298,0.0,0.493,0.677,0.779,0.948
schooling,2775.0,,,,11.992792792792793,3.3589197211023563,0.0,10.1,12.3,14.3,20.7
