country,year,residual,abs_residual
Haiti,2010,-24.242181940086915,24.242181940086915
Eritrea,2000,-12.397626057819387,12.397626057819387
Niger,2013,10.078247069282206,10.078247069282206
South Africa,2013,9.80903417094197,9.80903417094197
Uganda,2013,9.660928707755936,9.660928707755936
Rwanda,2008,8.57632634790928,8.57632634790928
Italy,2004,8.264334881609855,8.264334881609855
Paraguay,2000,8.21474417660707,8.21474417660707
Rwanda,2001,-8.156281235366464,8.156281235366464
Ethiopia,2009,8.146607652585551,8.146607652585551
Liberia,2012,8.020831284591928,8.020831284591928
Rwanda,2000,-7.708108203264288,7.708108203264288
Botswana,2002,-7.68894512097657,7.68894512097657
Nigeria,2008,7.660016084893542,7.660016084893542
Grenada,2002,7.525786029950453,7.525786029950453
Madagascar,2005,7.518490570619825,7.518490570619825
Djibouti,2009,7.470815108321986,7.470815108321986
Botswana,2003,-7.381582346574554,7.381582346574554
Zimbabwe,2014,7.359475802391884,7.359475802391884
Botswana,2014,7.343397582749681,7.343397582749681
Zambia,2013,7.318844652516397,7.318844652516397
Central African Republic,2014,7.310229656135995,7.310229656135995
Libya,2000,7.2556578640391365,7.2556578640391365
Zambia,2000,-7.228462451433025,7.228462451433025
Ghana,2010,7.131305341083866,7.131305341083866
Spain,2007,6.989150610972018,6.989150610972018
Iceland,2004,6.921751352579065,6.921751352579065
Samoa,2003,6.886078426794171,6.886078426794171
Zambia,2001,-6.801280606898786,6.801280606898786
Botswana,2001,-6.794903683071162,6.794903683071162
Papua New Guinea,2006,6.768437923806232,6.768437923806232
Guatemala,2008,6.761528271854246,6.761528271854246
Portugal,2014,6.687357315870386,6.687357315870386
Italy,2005,6.636721866351522,6.636721866351522
Botswana,2013,6.635708217002708,6.635708217002708
New Zealand,2010,6.633299748766902,6.633299748766902
Eritrea,2008,6.546318295924337,6.546318295924337
Mauritania,2006,6.529575645779609,6.529575645779609
France,2007,6.522919608949167,6.522919608949167
Sweden,2007,6.455912274367961,6.455912274367961
Azerbaijan,2009,6.441814769546966,6.441814769546966
Zimbabwe,2013,6.393655943469831,6.393655943469831
Uganda,2000,-6.383103229234159,6.383103229234159
Spain,2006,6.369844511526111,6.369844511526111
Haiti,2005,6.341415585863338,6.341415585863338
Norway,2009,6.331288651882403,6.331288651882403
Cabo Verde,2002,6.31082327236733,6.31082327236733
France,2008,6.266384417320509,6.266384417320509
Turkey,2001,6.226845669235743,6.226845669235743
Botswana,2012,6.120357926531291,6.120357926531291
Romania,2001,6.120305501265847,6.120305501265847
Finland,2014,6.10870151755276,6.10870151755276
Malawi,2014,6.086117096448135,6.086117096448135
Zambia,2002,-6.0821451926945755,6.0821451926945755
Sudan,2005,5.99132469989371,5.99132469989371
Belgium,2014,5.988331353476667,5.988331353476667
Singapore,2006,5.981424212828074,5.981424212828074
Sierra Leone,2013,5.972369938523627,5.972369938523627
Iceland,2003,5.9579324801752165,5.9579324801752165
Latvia,2003,5.9565238667457265,5.9565238667457265
Ukraine,2014,5.955031960482373,5.955031960482373
Lithuania,2005,5.951135685949453,5.951135685949453
Iraq,2011,5.940593248723758,5.940593248723758
Botswana,2004,-5.886038009915424,5.886038009915424
Bangladesh,2012,5.882313939889286,5.882313939889286
Chad,2009,5.846400800296671,5.846400800296671
Vanuatu,2009,5.790138076782881,5.790138076782881
Sweden,2006,5.788735539261083,5.788735539261083
Liberia,2003,-5.784371878346455,5.784371878346455
Mozambique,2005,5.772432253426132,5.772432253426132
Luxembourg,2011,5.772413644480395,5.772413644480395
Netherlands,2010,5.770829503113262,5.770829503113262
Morocco,2005,5.765176057938362,5.765176057938362
Uganda,2001,-5.729382006396591,5.729382006396591
Grenada,2001,5.717615120942398,5.717615120942398
Germany,2014,5.6891495507866665,5.6891495507866665
Estonia,2000,5.545995644927501,5.545995644927501
Australia,2004,5.468982107109994,5.468982107109994
Romania,2000,5.467014531437528,5.467014531437528
Botswana,2000,-5.394737019247152,5.394737019247152
Ukraine,2012,5.359185639053038,5.359185639053038
Slovenia,2014,5.329265489793315,5.329265489793315
Zimbabwe,2012,5.323041806422488,5.323041806422488
Burundi,2000,5.300972971309022,5.300972971309022
Zambia,2003,-5.252998077310977,5.252998077310977
Myanmar,2008,-5.2508003344279786,5.2508003344279786
Botswana,2011,5.248644777830933,5.248644777830933
Estonia,2001,5.195117291188893,5.195117291188893
Zambia,2014,5.184800007916586,5.184800007916586
Iraq,2010,5.173619503885249,5.173619503885249
Swaziland,2014,5.172193751761327,5.172193751761327
Malta,2011,5.167229245122272,5.167229245122272
Malawi,2013,5.107135541379456,5.107135541379456
Kenya,2010,5.102773621192306,5.102773621192306
Rwanda,2003,-5.079467339437997,5.079467339437997
Trinidad and Tobago,2012,5.049552492263118,5.049552492263118
Ethiopia,2000,-5.021217487240243,5.021217487240243
Romania,2002,4.922958876014121,4.922958876014121
Ireland,2010,4.922640416158714,4.922640416158714
Angola,2012,4.921670927977949,4.921670927977949
Zambia,2006,4.872155784484363,4.872155784484363
Austria,2011,4.865813219765386,4.865813219765386
Uganda,2002,-4.85014094246381,4.85014094246381
Austria,2012,4.8492558723916375,4.8492558723916375
Canada,2008,4.806021821087455,4.806021821087455
Iraq,2006,-4.775473944709788,4.775473944709788
Botswana,2010,4.7522565036886135,4.7522565036886135
Iraq,2012,4.687232110866773,4.687232110866773
Swaziland,2013,4.636197191240484,4.636197191240484
Comoros,2007,4.450472727085085,4.450472727085085
Maldives,2001,4.443033516346773,4.443033516346773
