variable,country,zero_count
income_composition_of_resources,Antigua and Barbuda,6
income_composition_of_resources,Bahamas,1
income_composition_of_resources,Bhutan,11
income_composition_of_resources,Bosnia and Herzegovina,6
income_composition_of_resources,Burkina Faso,6
income_composition_of_resources,Cabo Verde,1
income_composition_of_resources,Chad,1
income_composition_of_resources,Comoros,5
income_composition_of_resources,Equatorial Guinea,1
income_composition_of_resources,Eritrea,6
income_composition_of_resources,Ethiopia,1
income_composition_of_resources,Georgia,1
income_composition_of_resources,Grenada,11
income_composition_of_resources,Guinea-Bissau,6
income_composition_of_resources,Kiribati,6
income_composition_of_resources,Lebanon,6
income_composition_of_resources,Madagascar,1
income_composition_of_resources,Micronesia (Federated States of),1
income_composition_of_resources,Montenegro,4
income_composition_of_resources,Nigeria,4
income_composition_of_resources,Oman,1
income_composition_of_resources,Saint Lucia,1
income_composition_of_resources,Saint Vincent and the Grenadines,1
income_composition_of_resources,Seychelles,1
income_composition_of_resources,South Sudan,11
income_composition_of_resources,Suriname,5
income_composition_of_resources,The former Yugoslav republic of Macedonia,6
income_composition_of_resources,Timor-Leste,1
income_composition_of_resources,Turkmenistan,11
income_composition_of_resources,Uzbekistan,1
income_composition_of_resources,Vanuatu,6
percentage_expenditure,Algeria,1
percentage_expenditure,Angola,1
percentage_expenditure,Antigua and Barbuda,1
percentage_expenditure,Argentina,1
percentage_expenditure,Armenia,1
percentage_expenditure,Australia,1
percentage_expenditure,Austria,1
percentage_expenditure,Azerbaijan,1
percentage_expenditure,Bahamas,16
percentage_expenditure,Bahrain,1
percentage_expenditure,Bangladesh,1
percentage_expenditure,Barbados,1
percentage_expenditure,Belarus,1
percentage_expenditure,Belgium,1
percentage_expenditure,Belize,1
percentage_expenditure,Benin,1
percentage_expenditure,Bhutan,1
percentage_expenditure,Bolivia (Plurinational State of),16
percentage_expenditure,Bosnia and Herzegovina,1
percentage_expenditure,Botswana,1
percentage_expenditure,Brazil,1
percentage_expenditure,Brunei Darussalam,1
percentage_expenditure,Bulgaria,1
percentage_expenditure,Burkina Faso,1
percentage_expenditure,Burundi,1
percentage_expenditure,Cabo Verde,1
percentage_expenditure,Cambodia,1
percentage_expenditure,Cameroon,1
percentage_expenditure,Canada,1
percentage_expenditure,Central African Republic,1
percentage_expenditure,Chad,1
percentage_expenditure,Chile,1
percentage_expenditure,China,1
percentage_expenditure,Colombia,1
percentage_expenditure,Comoros,1
percentage_expenditure,Congo,16
percentage_expenditure,Cook Islands,1
percentage_expenditure,Costa Rica,1
percentage_expenditure,Croatia,1
percentage_expenditure,Cuba,1
percentage_expenditure,Cyprus,1
percentage_expenditure,Czechia,16
percentage_expenditure,Côte d'Ivoire,16
percentage_expenditure,Democratic People's Republic of Korea,16
percentage_expenditure,Democratic Republic of the Congo,16
percentage_expenditure,Denmark,1
percentage_expenditure,Djibouti,1
percentage_expenditure,Dominican Republic,1
