variable,year,zero_count
income_composition_of_resources,2000,31
income_composition_of_resources,2001,17
income_composition_of_resources,2002,17
income_composition_of_resources,2003,17
income_composition_of_resources,2004,15
income_composition_of_resources,2005,13
income_composition_of_resources,2006,4
income_composition_of_resources,2007,4
income_composition_of_resources,2008,4
income_composition_of_resources,2009,4
income_composition_of_resources,2010,4
percentage_expenditure,2000,30
percentage_expenditure,2001,29
percentage_expenditure,2002,29
percentage_expenditure,2003,29
percentage_expenditure,2004,28
percentage_expenditure,2005,27
percentage_expenditure,2006,27
percentage_expenditure,2007,27
percentage_expenditure,2008,28
percentage_expenditure,2009,28
percentage_expenditure,2010,28
percentage_expenditure,2011,28
percentage_expenditure,2012,29
percentage_expenditure,2013,34
percentage_expenditure,2014,29
percentage_expenditure,2015,181
schooling,2000,8
schooling,2001,3
schooling,2002,3
schooling,2003,3
schooling,2004,2
schooling,2005,2
schooling,2006,1
schooling,2007,1
schooling,2008,1
schooling,2009,1
schooling,2010,1
schooling,2013,2
